dataset,delta,rho_nominal,rho_perturbed,f1,precision,recall
cardio,-0.05,0.3290383151308674,0.25,0.49214659685863876,0.35516372795969775,0.8011363636363636
cardio,-0.025,0.3290383151308674,0.25,0.49214659685863876,0.35516372795969775,0.8011363636363636
cardio,0.0,0.3290383151308674,0.25,0.49214659685863876,0.35516372795969775,0.8011363636363636
cardio,0.025,0.3290383151308674,0.25,0.49214659685863876,0.35516372795969775,0.8011363636363636
cardio,0.05,0.3290383151308674,0.25,0.49214659685863876,0.35516372795969775,0.8011363636363636
lympho,-0.05,0.13723773823260677,0.08723773823260676,0.7058823529411765,0.5454545454545454,1.0
lympho,-0.025,0.13723773823260677,0.11223773823260677,0.5217391304347826,0.35294117647058826,1.0
lympho,0.0,0.13723773823260677,0.13723773823260677,0.5217391304347826,0.35294117647058826,1.0
lympho,0.025,0.13723773823260677,0.16223773823260676,0.46153846153846156,0.3,1.0
lympho,0.05,0.13723773823260677,0.18723773823260675,0.42857142857142855,0.2727272727272727,1.0
glass,-0.05,0.09362407438655412,0.04362407438655412,0.10526315789473684,0.1,0.1111111111111111
glass,-0.025,0.09362407438655412,0.06862407438655413,0.08695652173913043,0.07142857142857142,0.1111111111111111
glass,0.0,0.09362407438655412,0.09362407438655412,0.07692307692307693,0.058823529411764705,0.1111111111111111
glass,0.025,0.09362407438655412,0.11862407438655412,0.06896551724137931,0.05,0.1111111111111111
glass,0.05,0.09362407438655412,0.1436240743865541,0.06451612903225806,0.045454545454545456,0.1111111111111111
ionosphere,-0.05,0.21057616387548206,0.16057616387548207,0.6,1.0,0.42857142857142855
ionosphere,-0.025,0.21057616387548206,0.18557616387548206,0.6595744680851063,1.0,0.49206349206349204
ionosphere,0.0,0.21057616387548206,0.21057616387548206,0.6875,1.0,0.5238095238095238
ionosphere,0.025,0.21057616387548206,0.23557616387548205,0.7070707070707071,0.9722222222222222,0.5555555555555556
ionosphere,0.05,0.21057616387548206,0.25,0.7439613526570048,0.9506172839506173,0.6111111111111112
letter,-0.05,0.3206209787974759,0.25,0.21182266009852216,0.14052287581699346,0.43
letter,-0.025,0.3206209787974759,0.25,0.21182266009852216,0.14052287581699346,0.43
letter,0.0,0.3206209787974759,0.25,0.21182266009852216,0.14052287581699346,0.43
letter,0.025,0.3206209787974759,0.25,0.21182266009852216,0.14052287581699346,0.43
letter,0.05,0.3206209787974759,0.25,0.21182266009852216,0.14052287581699346,0.43
mammography,-0.05,0.4,0.25,0.16259541984732825,0.0902542372881356,0.8192307692307692
mammography,-0.025,0.4,0.25,0.16259541984732825,0.0902542372881356,0.8192307692307692
mammography,0.0,0.4,0.25,0.16259541984732825,0.0902542372881356,0.8192307692307692
mammography,0.025,0.4,0.25,0.16259541984732825,0.0902542372881356,0.8192307692307692
mammography,0.05,0.4,0.25,0.16259541984732825,0.0902542372881356,0.8192307692307692
musk,-0.05,0.4,0.25,0.28998505231689087,0.16958041958041958,1.0
musk,-0.025,0.4,0.25,0.28998505231689087,0.16958041958041958,1.0
musk,0.0,0.4,0.25,0.28998505231689087,0.16958041958041958,1.0
musk,0.025,0.4,0.25,0.28998505231689087,0.16958041958041958,1.0
musk,0.05,0.4,0.25,0.28998505231689087,0.16958041958041958,1.0
optdigits,-0.05,0.20500000000000002,0.15500000000000003,0.015625,0.01020408163265306,0.03333333333333333
optdigits,-0.025,0.20500000000000002,0.18000000000000002,0.026350461133069828,0.016420361247947456,0.06666666666666667
optdigits,0.0,0.20500000000000002,0.20500000000000002,0.032,0.019310344827586208,0.09333333333333334
optdigits,0.025,0.20500000000000002,0.23,0.03458799593082401,0.02040816326530612,0.11333333333333333
optdigits,0.05,0.20500000000000002,0.25,0.03531598513011153,0.020518358531317494,0.12666666666666668
pendigits,-0.05,0.3420650627057,0.25,0.18658536585365854,0.10309973045822103,0.9807692307692307
pendigits,-0.025,0.3420650627057,0.25,0.18658536585365854,0.10309973045822103,0.9807692307692307
pendigits,0.0,0.3420650627057,0.25,0.18658536585365854,0.10309973045822103,0.9807692307692307
pendigits,0.025,0.3420650627057,0.25,0.18658536585365854,0.10309973045822103,0.9807692307692307
pendigits,0.05,0.3420650627057,0.25,0.18658536585365854,0.10309973045822103,0.9807692307692307
pima,-0.05,0.3502240917417549,0.25,0.4444444444444444,0.5494505494505495,0.373134328358209
pima,-0.025,0.3502240917417549,0.25,0.4444444444444444,0.5494505494505495,0.373134328358209
pima,0.0,0.3502240917417549,0.25,0.4444444444444444,0.5494505494505495,0.373134328358209
pima,0.025,0.3502240917417549,0.25,0.4444444444444444,0.5494505494505495,0.373134328358209
pima,0.05,0.3502240917417549,0.25,0.4444444444444444,0.5494505494505495,0.373134328358209
satellite,-0.05,0.254001915423145,0.204001915423145,0.6344615384615384,0.8492586490939045,0.506385068762279
satellite,-0.025,0.254001915423145,0.229001915423145,0.6459994095069382,0.8097705403404886,0.537328094302554
satellite,0.0,0.254001915423145,0.25,0.6509380329732802,0.7726045883940621,0.56237721021611
satellite,0.025,0.254001915423145,0.25,0.6509380329732802,0.7726045883940621,0.56237721021611
satellite,0.05,0.254001915423145,0.25,0.6509380329732802,0.7726045883940621,0.56237721021611
satimage-2,-0.05,0.18772464287939788,0.1377246428793979,0.21947449768160743,0.1232638888888889,1.0
satimage-2,-0.025,0.18772464287939788,0.1627246428793979,0.18441558441558442,0.10157367668097282,1.0
satimage-2,0.0,0.18772464287939788,0.18772464287939788,0.15795328142380421,0.08574879227053141,1.0
satimage-2,0.025,0.18772464287939788,0.21272464287939788,0.13446969696969696,0.07208121827411168,1.0
satimage-2,0.05,0.18772464287939788,0.23772464287939787,0.11872909698996656,0.06311111111111112,1.0
speech,-0.05,0.4,0.25,0.03054989816700611,0.016286644951140065,0.2459016393442623
speech,-0.025,0.4,0.25,0.03054989816700611,0.016286644951140065,0.2459016393442623
speech,0.0,0.4,0.25,0.03054989816700611,0.016286644951140065,0.2459016393442623
speech,0.025,0.4,0.25,0.03054989816700611,0.016286644951140065,0.2459016393442623
speech,0.05,0.4,0.25,0.03054989816700611,0.016286644951140065,0.2459016393442623
thyroid,-0.05,0.2557403028079386,0.2057403028079386,0.24010554089709762,0.1368421052631579,0.978494623655914
thyroid,-0.025,0.2557403028079386,0.23074030280793859,0.2169811320754717,0.12185430463576159,0.989247311827957
thyroid,0.0,0.2557403028079386,0.25,0.19742489270386265,0.10965435041716329,0.989247311827957
thyroid,0.025,0.2557403028079386,0.25,0.19742489270386265,0.10965435041716329,0.989247311827957
thyroid,0.05,0.2557403028079386,0.25,0.19742489270386265,0.10965435041716329,0.989247311827957
vertebral,-0.05,0.27960879860139365,0.22960879860139366,0.024691358024691357,0.0196078431372549,0.03333333333333333
vertebral,-0.025,0.27960879860139365,0.25,0.06818181818181818,0.05172413793103448,0.1
vertebral,0.0,0.27960879860139365,0.25,0.06818181818181818,0.05172413793103448,0.1
vertebral,0.025,0.27960879860139365,0.25,0.06818181818181818,0.05172413793103448,0.1
vertebral,0.05,0.27960879860139365,0.25,0.06818181818181818,0.05172413793103448,0.1
wbc,-0.05,0.19553008154487775,0.14553008154487773,0.4533333333333333,0.3148148148148148,0.8095238095238095
wbc,-0.025,0.19553008154487775,0.17053008154487775,0.41975308641975306,0.2833333333333333,0.8095238095238095
wbc,0.0,0.19553008154487775,0.19553008154487775,0.38636363636363635,0.2537313432835821,0.8095238095238095
wbc,0.025,0.19553008154487775,0.22053008154487774,0.3838383838383838,0.24358974358974358,0.9047619047619048
wbc,0.05,0.19553008154487775,0.24553008154487777,0.3669724770642202,0.22727272727272727,0.9523809523809523
annthyroid,-0.05,0.2900383549936878,0.2400383549936878,0.28434197886647455,0.19121447028423771,0.5543071161048689
annthyroid,-0.025,0.2900383549936878,0.25,0.28531727651690597,0.18953846153846154,0.5767790262172284
annthyroid,0.0,0.2900383549936878,0.25,0.28531727651690597,0.18953846153846154,0.5767790262172284
annthyroid,0.025,0.2900383549936878,0.25,0.28531727651690597,0.18953846153846154,0.5767790262172284
annthyroid,0.05,0.2900383549936878,0.25,0.28531727651690597,0.18953846153846154,0.5767790262172284
arrhythmia,-0.05,0.25091094310239365,0.20091094310239366,0.4827586206896552,0.4430379746835443,0.5303030303030303
arrhythmia,-0.025,0.25091094310239365,0.22591094310239365,0.5,0.43333333333333335,0.5909090909090909
arrhythmia,0.0,0.25091094310239365,0.25,0.49122807017543857,0.4,0.6363636363636364
arrhythmia,0.025,0.25091094310239365,0.25,0.49122807017543857,0.4,0.6363636363636364
arrhythmia,0.05,0.25091094310239365,0.25,0.49122807017543857,0.4,0.6363636363636364
breastw,-0.05,0.4,0.25,0.8135593220338984,0.9655172413793104,0.702928870292887
breastw,-0.025,0.4,0.25,0.8135593220338984,0.9655172413793104,0.702928870292887
breastw,0.0,0.4,0.25,0.8135593220338984,0.9655172413793104,0.702928870292887
breastw,0.025,0.4,0.25,0.8135593220338984,0.9655172413793104,0.702928870292887
breastw,0.05,0.4,0.25,0.8135593220338984,0.9655172413793104,0.702928870292887
mnist,-0.05,0.20500000000000002,0.15500000000000003,0.35667870036101085,0.3605839416058394,0.35285714285714287
mnist,-0.025,0.20500000000000002,0.18000000000000002,0.3668789808917197,0.3310344827586207,0.4114285714285714
mnist,0.0,0.20500000000000002,0.20500000000000002,0.37299771167048057,0.3110687022900763,0.4657142857142857
mnist,0.025,0.20500000000000002,0.23,0.3722627737226277,0.29310344827586204,0.51
mnist,0.05,0.20500000000000002,0.25,0.3754826254826255,0.28352769679300294,0.5557142857142857
vowels,-0.05,0.4,0.25,0.16066481994459833,0.0932475884244373,0.58
vowels,-0.025,0.4,0.25,0.16066481994459833,0.0932475884244373,0.58
vowels,0.0,0.4,0.25,0.16066481994459833,0.0932475884244373,0.58
vowels,0.025,0.4,0.25,0.16066481994459833,0.0932475884244373,0.58
vowels,0.05,0.4,0.25,0.16066481994459833,0.0932475884244373,0.58
wine,-0.05,0.2442083989844079,0.1942083989844079,0.42424242424242425,0.30434782608695654,0.7
wine,-0.025,0.2442083989844079,0.21920839898440792,0.3888888888888889,0.2692307692307692,0.7
