dataset,n_detectors,detectors,f1,precision,recall,roc_auc,runtime_sec
cardio,2,IsolationForest+LOF,0.34234234234234234,0.2077764277035237,0.9715909090909091,0.9105740181268881,0.35497498512268066
cardio,3,IsolationForest+LOF+HBOS,0.39077340569877883,0.25668449197860965,0.8181818181818182,0.9020461411700083,0.5719866752624512
cardio,4,IsolationForest+LOF+HBOS+COPOD,0.45170068027210886,0.29695885509839,0.9431818181818182,0.9117241142543256,0.3418290615081787
cardio,5,IsolationForest+LOF+HBOS+COPOD+VAE,0.4398826979472141,0.2964426877470356,0.8522727272727273,0.9104572919527603,13.522914409637451
cardio,6,IsolationForest+LOF+HBOS+COPOD+VAE+KNN,0.4444444444444444,0.2992125984251969,0.8636363636363636,0.9077657237022796,14.329148769378662
cardio,7,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD,0.45,0.328125,0.7159090909090909,0.9052835759406755,15.511788368225098
cardio,8,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE,0.394919168591224,0.24782608695652175,0.9715909090909091,0.9158438615764899,15.870795011520386
cardio,9,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA,0.425273390036452,0.2704791344667697,0.9943181818181818,0.9212510299368307,9.515612363815308
cardio,10,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA+DeepSVDD,0.43316831683168316,0.27689873417721517,0.9943181818181818,0.9241657511672617,15.739888191223145
cardio,11,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA+DeepSVDD+LUNAR,0.44733420026007803,0.2900505902192243,0.9772727272727273,0.9216836034056578,17.371525526046753
lympho,2,IsolationForest+LOF,0.3333333333333333,0.2,1.0,0.9953051643192489,0.4323546886444092
lympho,3,IsolationForest+LOF+HBOS,0.5,0.3333333333333333,1.0,0.9976525821596244,0.2661135196685791
lympho,4,IsolationForest+LOF+HBOS+COPOD,0.5,0.3333333333333333,1.0,0.9976525821596244,0.27330446243286133
lympho,5,IsolationForest+LOF+HBOS+COPOD+VAE,0.5,0.3333333333333333,1.0,0.9964788732394366,1.2103533744812012
lympho,6,IsolationForest+LOF+HBOS+COPOD+VAE+KNN,0.5,0.3333333333333333,1.0,0.9953051643192489,1.5589020252227783
lympho,7,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD,0.46153846153846156,0.3,1.0,0.9941314553990611,1.5418314933776855
lympho,8,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE,0.48,0.3157894736842105,1.0,0.9953051643192489,1.8319833278656006
lympho,9,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA,0.5,0.3333333333333333,1.0,0.9941314553990611,1.7162609100341797
