dataset,scheme,f1,precision,recall,roc_auc,avg_precision
cardio,em,0.44733420026007803,0.2900505902192243,0.9772727272727273,0.9216836034056578,0.5257238300665431
cardio,equal,0.4414535666218035,0.2892416225749559,0.9318181818181818,0.9162386706948641,0.5019290970964202
cardio,agreement,0.4426450742240216,0.2902654867256637,0.9318181818181818,0.9184084042845372,0.5277401099251497
lympho,em,0.5,0.3333333333333333,1.0,0.9941314553990611,0.9055555555555554
lympho,equal,0.5217391304347826,0.35294117647058826,1.0,0.9941314553990611,0.9055555555555554
lympho,agreement,0.5217391304347826,0.35294117647058826,1.0,0.9870892018779344,0.7903138528138528
glass,em,0.07407407407407407,0.05555555555555555,0.1111111111111111,0.7046070460704608,0.08915516613936891
glass,equal,0.07692307692307693,0.058823529411764705,0.1111111111111111,0.7024390243902439,0.08593812386685437
glass,agreement,0.08,0.0625,0.1111111111111111,0.7013550135501355,0.08889292267437363
ionosphere,em,0.7076923076923077,1.0,0.5476190476190477,0.902716049382716,0.8854347234886926
ionosphere,equal,0.6875,1.0,0.5238095238095238,0.8914285714285715,0.8686021223569345
ionosphere,agreement,0.694300518134715,1.0,0.5317460317460317,0.8924162257495591,0.8706990639692372
letter,em,0.20934579439252338,0.12873563218390804,0.56,0.7381599999999999,0.1487548874425441
letter,equal,0.21333333333333335,0.13176470588235295,0.56,0.7513733333333333,0.1573193394311222
letter,agreement,0.19593345656192238,0.12018140589569161,0.53,0.72506,0.14222490612138436
mammography,em,0.10064462466209191,0.05319850516597054,0.9307692307692308,0.8874558975767436,0.2724962367075249
mammography,equal,0.1085623438564615,0.05768766594255371,0.9192307692307692,0.8778174494186579,0.27902460794818823
mammography,agreement,0.13262599469496023,0.07181615065432492,0.8653846153846154,0.8196776033634039,0.3459299591017893
musk,em,0.14520958083832336,0.07828894269572235,1.0,0.9999061212426765,0.997181856932668
musk,equal,0.15073815073815075,0.08151260504201681,1.0,0.9997531336381495,0.9925635185926481
musk,agreement,0.16288832913518053,0.0886654478976234,1.0,0.9997635646111854,0.9928289045804395
optdigits,em,0.05536992840095466,0.02982005141388175,0.38666666666666666,0.6285379655217792,0.03593293614075251
optdigits,equal,0.05716837874050915,0.030636668262326472,0.4266666666666667,0.6325003289906567,0.03701132476078715
optdigits,agreement,0.05405405405405406,0.029021151008362025,0.3933333333333333,0.5870456639031452,0.032085885319893315
pendigits,em,0.12967581047381546,0.06933333333333333,1.0,0.9198221473690643,0.2250333519460362
pendigits,equal,0.13164556962025317,0.07046070460704607,1.0,0.9215254386165914,0.20947464896174953
pendigits,agreement,0.1312026913372582,0.0702070207020702,1.0,0.9263918486438593,0.20036257711820113
pima,em,0.5168539325842697,0.518796992481203,0.5149253731343284,0.6839925373134328,0.503226456756543
pima,equal,0.5168539325842697,0.518796992481203,0.5149253731343284,0.6837611940298508,0.5014817206103371
pima,agreement,0.5103189493433395,0.5132075471698113,0.5074626865671642,0.6828432835820896,0.5079974379107801
satellite,em,0.6521861777150917,0.7660702451954937,0.5677799607072691,0.7254934033498415,0.7076212814634141
satellite,equal,0.6483734087694484,0.7645096731154103,0.56286836935167,0.7223124249974655,0.7005845580895036
satellite,agreement,0.6483916083916084,0.7530864197530864,0.5692534381139489,0.7300211335760807,0.7090545147109546
satimage-2,em,0.14900314795383002,0.08049886621315193,1.0,0.9971963673176534,0.8669914098504538
satimage-2,equal,0.15795328142380421,0.08574879227053141,1.0,0.9967639051335226,0.8468476407190959
satimage-2,agreement,0.13840155945419103,0.0743455497382199,1.0,0.9973536262937007,0.8951777110933042
speech,em,0.028460543337645538,0.014814814814814815,0.36065573770491804,0.48539966082532504,0.02076582527446015
speech,equal,0.028534370946822308,0.014854827819041188,0.36065573770491804,0.48733973996608254,0.02123741070873849
speech,agreement,0.025974025974025976,0.013522650439486139,0.32786885245901637,0.4862996042962125,0.021325939864997923
thyroid,em,0.19267015706806281,0.10672853828306264,0.989247311827957,0.9645532475807181,0.367279059539677
thyroid,equal,0.19267015706806281,0.10672853828306264,0.989247311827957,0.9632964778297048,0.35983094541187016
thyroid,agreement,0.18604651162790697,0.10267857142857142,0.989247311827957,0.9706646558350651,0.36334117042021996
vertebral,em,0.08602150537634409,0.06349206349206349,0.13333333333333333,0.35285714285714287,0.09278684574437297
vertebral,equal,0.08602150537634409,0.06349206349206349,0.13333333333333333,0.3503174603174603,0.09247240799121972
vertebral,agreement,0.06451612903225806,0.047619047619047616,0.1,0.34746031746031747,0.09190086891694123
wbc,em,0.38636363636363635,0.2537313432835821,0.8095238095238095,0.9498466053087902,0.5352770386697862
wbc,equal,0.38636363636363635,0.2537313432835821,0.8095238095238095,0.9494464452447646,0.5348733970535278
wbc,agreement,0.40860215053763443,0.2638888888888889,0.9047619047619048,0.949046285180739,0.5361669452455144
annthyroid,em,0.2752143732135566,0.17597911227154048,0.6310861423220974,0.8204042314343795,0.26038869755952965
annthyroid,equal,0.2752143732135566,0.17597911227154048,0.6310861423220974,0.8126054178451553,0.2520830282701744
annthyroid,agreement,0.327683615819209,0.2088477366255144,0.7602996254681648,0.8682913235143739,0.29141690861288716
arrhythmia,em,0.4777777777777778,0.37719298245614036,0.6515151515151515,0.8059742502747683,0.43057496974925036
arrhythmia,equal,0.46994535519125685,0.36752136752136755,0.6515151515151515,0.8033050714397865,0.42531298842333276
arrhythmia,agreement,0.46994535519125685,0.36752136752136755,0.6515151515151515,0.8050321871565395,0.4283493369537222
breastw,em,0.9330708661417323,0.8810408921933085,0.9916317991631799,0.9904067247163482,0.9785102786996902
breastw,equal,0.9299610894941635,0.8690909090909091,1.0,0.9887198914395567,0.9740251136029439
breastw,agreement,0.9224806201550387,0.8592057761732852,0.99581589958159,0.9892947340646085,0.9770049890825554
mnist,em,0.3250068624759813,0.20115528372409106,0.8457142857142858,0.8210544069866104,0.3234392249381733
mnist,equal,0.3134715025906736,0.19145569620253164,0.8642857142857143,0.7960454046894725,0.28625107653590676
mnist,agreement,0.3107810781078108,0.19243869209809264,0.8071428571428572,0.8093261728854949,0.29495529521934993
