combo,f1,auroc,auprc
IsolationForest+HBOS+KNN,0.3015876723264819,0.8154086564172125,0.44580775990210547
IsolationForest+COPOD+KNN,0.3001265238193054,0.8157499437853167,0.4412647559506805
IsolationForest+INNE+COPOD,0.30753190301691613,0.8077208988913168,0.44016146424353425
IsolationForest+INNE+KNN,0.31055155532365414,0.8189837337016954,0.43944313704029375
IsolationForest+INNE+HBOS,0.3094310285287333,0.8090070823007326,0.43903619596482596
INNE+HBOS+KNN,0.31195301283453963,0.8173776278348227,0.43800562800612713
IsolationForest+MCD+INNE,0.31988497792912846,0.8154988569943659,0.4379007768725552
IsolationForest+MCD+COPOD,0.3032956638778781,0.8066880954113067,0.4342786581897586
IsolationForest+MCD+HBOS,0.3041714992455323,0.8044713108312963,0.4327457407036874
IsolationForest+MCD+KNN,0.31020234293372595,0.8274092320809942,0.4322864938069063
MCD+INNE+COPOD,0.31336952390630335,0.8094154393922622,0.4309779260719779
MCD+INNE+HBOS,0.31573904827307075,0.8086486358714944,0.43062692947386444
HBOS+COPOD+KNN,0.29133063008611965,0.8053830322619622,0.43057116825026714
IsolationForest+COPOD+LOF,0.30137707917100165,0.8105205013764507,0.4271261757906283
IsolationForest+HBOS+LOF,0.2986535328616897,0.8082102779338068,0.4268974969487837
INNE+COPOD+KNN,0.3094185922743877,0.8159915718623644,0.42448157992785873
INNE+HBOS+COPOD,0.2952708126364909,0.80062101092152,0.42396050797691825
IsolationForest+HBOS+COPOD,0.28896910202567944,0.7930058680497133,0.4237081850763262
MCD+HBOS+KNN,0.3121765625517707,0.8101545080088166,0.4227656947057871
MCD+HBOS+COPOD,0.29373361885827437,0.7888889655147575,0.4212895387100329
MCD+INNE+KNN,0.3149333892833418,0.817183604699164,0.4184991936031725
MCD+COPOD+KNN,0.31148621109108016,0.8175316890561871,0.4182304686538758
IsolationForest+MCD+LOF,0.3142125217707781,0.8214998819171032,0.4172211154777626
IsolationForest+INNE+LOF,0.30351611728055566,0.8139577009722146,0.41472229384778353
IsolationForest+KNN+LOF,0.2966088153552704,0.8245087903859987,0.4105505524270711
HBOS+COPOD+LOF,0.28607421207176204,0.792198563893696,0.40523951280553894
INNE+HBOS+LOF,0.2926336218536144,0.8082307595459561,0.4040846506109659
MCD+HBOS+LOF,0.30183542124035095,0.7923866106758979,0.40320776702079253
HBOS+KNN+LOF,0.28795364442065713,0.8097603894687263,0.4019270676640161
MCD+COPOD+LOF,0.3029250608883349,0.8070199933878764,0.4002351850769417
INNE+COPOD+LOF,0.2983499483158773,0.8087614913063874,0.39469383896879556
MCD+INNE+LOF,0.3059198054118244,0.8047683840249199,0.37763060350596994
COPOD+KNN+LOF,0.2917627621472126,0.8138465149748604,0.3771980735049306
MCD+KNN+LOF,0.2989923686512111,0.7980409448806637,0.3690226889238003
INNE+KNN+LOF,0.292068012843739,0.8098738396603175,0.3500427929844064
