detector,f1,precision,recall,runtime_sec,roc_auc,avg_precision,dataset,anomaly_rate
IsolationForest,0.4467265725288832,0.2885572139303483,0.9886363636363636,0.13648581504821777,0.9300913210656413,0.5856329169114948,cardio,0.0961223375204806
LOF,0.17458279845956354,0.11276948590381426,0.38636363636363635,0.1316983699798584,0.5344067563856083,0.19927619211984762,cardio,0.0961223375204806
HBOS,0.32605905006418484,0.21061359867330018,0.7215909090909091,0.016642093658447266,0.8106667124416369,0.44310877435257284,cardio,0.0961223375204806
COPOD,0.4338896020539153,0.2802653399668325,0.9602272727272727,0.014887094497680664,0.9218827245262291,0.5776491635091149,cardio,0.0961223375204806
VAE,0.3491655969191271,0.22553897180762852,0.7727272727272727,13.384896755218506,0.8174951936281242,0.3245493337353979,cardio,0.0961223375204806
KNN,0.31065468549422337,0.20066334991708126,0.6875,0.1845386028289795,0.7669647761603956,0.2392328123596482,cardio,0.0961223375204806
MCD,0.31835686777920413,0.20563847429519072,0.7045454545454546,0.4042348861694336,0.8161562757484208,0.31574586946216765,cardio,0.0961223375204806
INNE,0.4184852374839538,0.2703150912106136,0.9261363636363636,0.28122997283935547,0.8698485992859104,0.3255006327063017,cardio,0.0961223375204806
PCA,0.4492939666238768,0.2902155887230514,0.9943181818181818,0.010840892791748047,0.9500377643504532,0.610220882906676,cardio,0.0961223375204806
DeepSVDD,0.4467265725288832,0.2885572139303483,0.9886363636363636,1.0278313159942627,0.9569005767646251,0.636942870799971,cardio,0.0961223375204806
LUNAR,0.19768934531450577,0.12769485903814262,0.4375,0.6533145904541016,0.5994026366382862,0.21366679680155812,cardio,0.0961223375204806
LSCP,0.42362002567394097,0.2736318407960199,0.9375,3.173529624938965,0.9212922274100522,0.5583972396583878,cardio,0.0961223375204806
IsolationForest,0.4444444444444444,0.2857142857142857,1.0,0.11794805526733398,0.9964788732394366,0.9444444444444444,lympho,0.04054054054054054
LOF,0.4444444444444444,0.2857142857142857,1.0,0.07291078567504883,0.9894366197183099,0.8152777777777778,lympho,0.04054054054054054
HBOS,0.4444444444444444,0.2857142857142857,1.0,0.012390375137329102,0.9988262910798122,0.976190476190476,lympho,0.04054054054054054
COPOD,0.4444444444444444,0.2857142857142857,1.0,0.011360406875610352,0.9941314553990611,0.8833333333333333,lympho,0.04054054054054054
VAE,0.4444444444444444,0.2857142857142857,1.0,0.7147769927978516,0.988262910798122,0.8293040293040294,lympho,0.04054054054054054
KNN,0.46153846153846156,0.3,1.0,0.07408905029296875,0.9800469483568075,0.7754901960784313,lympho,0.04054054054054054
MCD,0.2222222222222222,0.14285714285714285,0.5,0.04337430000305176,0.8615023474178404,0.2583759590792839,lympho,0.04054054054054054
INNE,0.4444444444444444,0.2857142857142857,1.0,0.1370832920074463,0.9859154929577465,0.6208333333333332,lympho,0.04054054054054054
PCA,0.4444444444444444,0.2857142857142857,1.0,0.0067386627197265625,0.9847417840375586,0.8333333333333333,lympho,0.04054054054054054
DeepSVDD,0.37037037037037035,0.23809523809523808,0.8333333333333334,0.09731459617614746,0.9366197183098591,0.580515873015873,lympho,0.04054054054054054
LUNAR,0.2962962962962963,0.19047619047619047,0.6666666666666666,0.4593009948730469,0.7828638497652582,0.4556245193500095,lympho,0.04054054054054054
LSCP,0.4444444444444444,0.2857142857142857,1.0,0.32840776443481445,0.9976525821596244,0.9583333333333333,lympho,0.04054054054054054
IsolationForest,0.06896551724137931,0.05,0.1111111111111111,0.10571599006652832,0.7078590785907859,0.09803665276687032,glass,0.04205607476635514
LOF,0.13793103448275862,0.1,0.2222222222222222,0.3208785057067871,0.808130081300813,0.13508220742343996,glass,0.04205607476635514
HBOS,0.06896551724137931,0.05,0.1111111111111111,0.009830951690673828,0.694850948509485,0.07183356598136764,glass,0.04205607476635514
COPOD,0.06896551724137931,0.05,0.1111111111111111,0.010173320770263672,0.6449864498644986,0.06504645267433043,glass,0.04205607476635514
VAE,0.06896551724137931,0.05,0.1111111111111111,1.59055495262146,0.6168021680216802,0.0725941385283413,glass,0.04205607476635514
KNN,0.06896551724137931,0.05,0.1111111111111111,0.0805661678314209,0.8422764227642277,0.14222430707105035,glass,0.04205607476635514
MCD,0.0,0.0,0.0,0.047583818435668945,0.7707317073170732,0.08899058185769303,glass,0.04205607476635514
INNE,0.13793103448275862,0.1,0.2222222222222222,0.13977789878845215,0.724119241192412,0.18694836839759482,glass,0.04205607476635514
PCA,0.06896551724137931,0.05,0.1111111111111111,0.006882667541503906,0.5918699186991869,0.06989449589111228,glass,0.04205607476635514
DeepSVDD,0.06896551724137931,0.05,0.1111111111111111,0.13053441047668457,0.5436314363143632,0.05172327903362817,glass,0.04205607476635514
LUNAR,0.13793103448275862,0.1,0.2222222222222222,0.2855827808380127,0.7382113821138211,0.11557106493144473,glass,0.04205607476635514
