dataset,scheme,k,f1,precision,recall,roc_auc,avg_precision,rho_hat,runtime_sec
cardio,em,6,0.44733420026007803,0.2900505902192243,0.9772727272727273,0.9216836034056578,0.5257238300665431,0.329038315134294,22.95743155479431
cardio,equal,6,0.4414535666218035,0.2892416225749559,0.9318181818181818,0.9162386706948641,0.5019290970964202,0.329038315134294,16.26851773262024
cardio,agreement,6,0.4426450742240216,0.2902654867256637,0.9318181818181818,0.9184084042845372,0.5277401099251497,0.329038315134294,17.767425775527954
cardio,ncl,6,0.4420485175202156,0.28975265017667845,0.9318181818181818,0.9172995056303213,0.523373748681944,0.329038315134294,18.828622102737427
lympho,em,6,0.5,0.3333333333333333,1.0,0.9941314553990611,0.9055555555555554,0.13791955359177122,2.236060619354248
lympho,equal,6,0.5217391304347826,0.35294117647058826,1.0,0.9941314553990611,0.9055555555555554,0.13791955359177122,1.9496123790740967
lympho,agreement,6,0.5217391304347826,0.35294117647058826,1.0,0.9870892018779344,0.7903138528138528,0.13791955359177122,2.4134654998779297
lympho,ncl,6,0.5217391304347826,0.35294117647058826,1.0,0.9870892018779344,0.7903138528138528,0.13791955359177122,2.236612558364868
glass,em,6,0.07407407407407407,0.05555555555555555,0.1111111111111111,0.7046070460704608,0.08915516613936891,0.09362407438582947,2.8812124729156494
glass,equal,6,0.07692307692307693,0.058823529411764705,0.1111111111111111,0.7024390243902439,0.08593812386685437,0.09362407438582947,2.580545425415039
glass,agreement,6,0.08,0.0625,0.1111111111111111,0.7013550135501355,0.08889292267437363,0.09362407438582947,2.5389182567596436
glass,ncl,6,0.08,0.0625,0.1111111111111111,0.7013550135501355,0.08889292267437363,0.09362407438582947,2.619771718978882
ionosphere,em,6,0.7076923076923077,1.0,0.5476190476190477,0.902716049382716,0.8854347234886926,0.21057616387485875,4.368952751159668
ionosphere,equal,6,0.6875,1.0,0.5238095238095238,0.8914285714285715,0.8686021223569345,0.21057616387485875,3.0585203170776367
